frame_number,time(min),time(sec),time(subsec),d_1(m),s_1(m),d_2(m),s_2(m)
266,1,38,27,2.1,4.5,1.6,9.7,
267,1,38,28,1.9,4.7,1.7,9.3,
268,1,38,29,1.6,5.1,1.7,9.5,
269,1,39,0,1.4,5.2,1.8,9.7,
270,1,39,1,1.5,5.3,1.8,9.2,
271,1,39,2,1.3,5.4,1.8,8.1,
272,1,39,3,1.1,5.7,1.8,7.6,
273,1,39,4,0.9,5.6,1.8,7.5,
274,1,39,5,0.8,5.7,1.9,7.1,
275,1,39,6,0.8,5.8,1.9,7.0,
276,1,39,7,0.4,5.8,2.0,7.0,
277,1,39,8,0.4,5.6,2.0,6.6,
278,1,39,9,0.7,5.7,2.0,6.5,
279,1,39,10,0.3,5.6,2.0,6.2,
280,1,39,11,-0.4,5.9,2.0,5.5,
281,1,39,12,-0.6,5.8,2.0,5.8,
282,1,39,13,-1.5,6.0,2.1,5.1,
283,1,39,14,1.1,8.1,2.0,5.1,
284,1,39,15,1.2,8.0,2.1,4.7,
285,1,39,16,1.3,7.9,2.1,4.4,
286,1,39,17,1.5,8.3,2.1,4.3,
287,1,39,18,1.8,8.3,2.1,4.2,
288,1,39,19,12.7,8.5,2.1,4.6,
289,1,39,20,31.5,8.8,2.1,4.7,
290,1,39,21,33.8,8.8,2.0,5.1,
291,1,39,22,-90.7,9.3,2.0,5.8,
292,1,39,23,-37.2,9.4,2.1,6.6,
293,1,39,24,-38.8,9.9,2.1,7.2,
294,1,39,25,139.7,10.0,2.3,8.2,
295,1,39,26,141.5,10.3,2.2,10.8,
296,1,39,27,44.1,10.4,2.2,15.2,
297,1,39,28,-42.0,10.5,2.0,21.1,
298,1,39,29,26.1,10.1,NN,NN,
299,1,40,0,3.8,11.3,NN,NN,
